"spid","CCNAME","DNAME","CLNAME","FEACODE","SAREA","EFEACODE","CCODE","DCODE","CLCODE","EACODE","TOTAL","MALE","FEMALE","HH","CCODE1","DCODE1","CLCODE1","EACODE1","lon","lat","d","gmap"
23,"Grand Bassa","District # 2","Gogowein",90606032,"SA63",906006032,9,6,6,32,284,165,119,43,9,6,6,32,-9.83207103203395,6.38546049469996,2.62928091451031,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.38546049469996%2C-9.83207103203395&z=16"
24,"Grand Bassa","District # 2","Boeglayn",90607042,"SA64",906007042,9,6,7,42,550,242,308,97,9,6,7,42,-9.75730026328071,6.48295585155926,8.17889706431392,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.48295585155926%2C-9.75730026328071&z=16"
24,"Grand Bassa","District # 2","Boeglayn",90607052,"SA64",906007052,9,6,7,52,500,253,247,93,9,6,7,52,-9.73277823362974,6.43166583400076,6.56009016105109,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.43166583400076%2C-9.73277823362974&z=16"
24,"Grand Bassa","District # 3","Dohnwein",91406012,"SA26",914006012,9,14,6,12,844,430,414,178,9,14,6,12,-9.73418263963794,6.37869053689498,3.05118124135049,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.37869053689498%2C-9.73418263963794&z=16"
25,"Grand Bassa","District # 3","Deegba",91407012,"SA24",914007012,9,14,7,12,364,189,175,81,9,14,7,12,-9.56158041546129,6.44725804285264,5.06663203502998,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.44725804285264%2C-9.56158041546129&z=16"
25,"Grand Bassa","District # 3","Deegba",91407022,"SA24",914007022,9,14,7,22,751,367,384,153,9,14,7,22,-9.57673616653229,6.42042935618391,3.23286596603692,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.42042935618391%2C-9.57673616653229&z=16"
25,"Grand Bassa","District # 3","Deegba",91407032,"SA24",914007032,9,14,7,32,404,198,206,86,9,14,7,32,-9.5861994189163,6.40333678202827,2.30279659780983,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.40333678202827%2C-9.5861994189163&z=16"
26,"Grand Bassa","District # 3","Gbaniee",91412032,"SA21",914012032,9,14,12,32,635,325,310,107,9,14,12,32,-9.41558890169739,6.48821642596632,7.70610519691569,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.48821642596632%2C-9.41558890169739&z=16"
26,"Grand Bassa","District # 3","Gbaniee",91412042,"SA21",914012042,9,14,12,42,462,238,224,85,9,14,12,42,-9.38657479519563,6.38420598093746,6.84516433532204,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.38420598093746%2C-9.38657479519563&z=16"
26,"Grand Bassa","District # 3","Pay-U-Way",91413042,"SA22",914013042,9,14,13,42,825,434,391,100,9,14,13,42,-9.45410777066655,6.39637927158707,5.16919925331418,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.39637927158707%2C-9.45410777066655&z=16"
27,"Grand Bassa","District # 3","Norwein",91411022,"SA20",914011022,9,14,11,22,614,319,295,154,9,14,11,22,-9.24222204369103,6.50374212026213,9.86367570507337,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.50374212026213%2C-9.24222204369103&z=16"
27,"Grand Bassa","District # 3","Jeuwein",91410012,"SA21",914010012,9,14,10,12,324,179,145,88,9,14,10,12,-9.32485356546914,6.4478924176362,8.12214262823895,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.4478924176362%2C-9.32485356546914&z=16"
27,"Grand Bassa","District # 3","Jeuwein",91410022,"SA21",914010022,9,14,10,22,461,250,211,1,9,14,10,22,-9.25323600583101,6.40382462893821,3.42623141091526,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.40382462893821%2C-9.25323600583101&z=16"
28,"Grand Bassa","District # 2","Chan",90610032,"SA65",906010032,9,6,10,32,1349,664,685,284,9,6,10,32,-9.76513532908603,6.60274623532442,6.52318218503576,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.60274623532442%2C-9.76513532908603&z=16"
28,"Grand Bassa","District # 2","Chan",90610022,"SA65",906010022,9,6,10,22,293,138,155,48,9,6,10,22,-9.77053744629304,6.61404847437232,5.54813349909962,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.61404847437232%2C-9.77053744629304&z=16"
28,"Grand Bassa","District # 2","Chan",90610012,"SA65",906010012,9,6,10,12,501,244,257,109,9,6,10,12,-9.83873258488611,6.58536201918987,4.57737945488667,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.58536201918987%2C-9.83873258488611&z=16"
29,"Grand Bassa","District # 2","Jungle",90609032,"SA66",906009032,9,6,9,32,282,150,132,66,9,6,9,32,-9.70086803151374,6.60319884811447,9.14631566376033,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.60319884811447%2C-9.70086803151374&z=16"
29,"Grand Bassa","District # 2","Boeglayn",90607022,"SA64",906007022,9,6,7,22,646,310,336,97,9,6,7,22,-9.63835881905251,6.57768078406023,7.2456995216497,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.57768078406023%2C-9.63835881905251&z=16"
29,"Grand Bassa","District # 2","Boeglayn",90607012,"SA64",906007012,9,6,7,12,843,394,449,145,9,6,7,12,-9.69248868858117,6.55944002696999,1.82271657242958,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.55944002696999%2C-9.69248868858117&z=16"
30,"Grand Bassa","District # 3","Norwein",91411042,"SA20",914011042,9,14,11,42,676,346,330,137,9,14,11,42,-9.34405418626096,6.57763035972387,6.16454101319744,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.57763035972387%2C-9.34405418626096&z=16"
30,"Grand Bassa","District # 3","Norwein",91411032,"SA20",914011032,9,14,11,32,1120,548,572,225,9,14,11,32,-9.30100052578208,6.56010403608392,3.44340438984788,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.56010403608392%2C-9.30100052578208&z=16"
30,"Grand Bassa","District # 3","Gbaniee",91412012,"SA21",914012012,9,14,12,12,627,298,329,123,9,14,12,12,-9.35647281329135,6.5278433010155,1.69838348703554,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.5278433010155%2C-9.35647281329135&z=16"
